Well / Set,Dye,Content,Description,Efficiency,C(t),copies,Avg C(t),Max C(t),Min C(t),C(t) SD,Avg copies,Max copies,Min copies,copies SD,Wellset Type
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A7,SBG1,Standard,,82.09%,9.59,1.00E+08,,,,,,,,,
A8,SBG1,Standard,,77.42%,9.62,1.00E+08,,,,,,,,,
A9,SBG1,Sample,log CB-D,73.15%,18.06,4.90E+05,,,,,,,,,
A10,SBG1,Sample,log CB-D,69.93%,18.06,4.91E+05,,,,,,,,,
A11,SBG1,Sample,log CB-D,51.08%,15.07,3.46E+06,,,,,,,,,
A12,SBG1,Sample,late CB-AD,101.95%,16.76,1.15E+06,,,,,,,,,
B7,SBG1,Standard,,69.28%,13.27,1.00E+07,,,,,,,,,
B8,SBG1,Standard,,74.37%,13.16,1.00E+07,,,,,,,,,
B9,SBG1,Sample,log CB-A,43.43%,29.61,2.59E+02,,,,,,,,,
B10,SBG1,Sample,log CB-A,85.18%,31.93,56.82,,,,,,,,,
B11,SBG1,Sample,log CB-A,45.73%,29.47,2.84E+02,,,,,,,,,
B12,SBG1,Sample,late CB-AD,104.05%,14.96,3.72E+06,,,,,,,,,
C7,SBG1,Standard,,72.33%,17.21,1.00E+06,,,,,,,,,
C8,SBG1,Standard,,73.68%,17.26,1.00E+06,,,,,,,,,
C9,SBG1,Sample,log CB-AD,67.34%,13.18,1.19E+07,,,,,,,,,
C10,SBG1,Sample,log CB-AD,68.95%,12.55,1.79E+07,,,,,,,,,
C11,SBG1,Sample,log CB-AD,65.21%,13.05,1.30E+07,,,,,,,,,
C12,SBG1,Sample,late CB-AD,70.31%,14.41,5.34E+06,,,,,,,,,
D7,SBG1,Standard,,71.86%,20.54,1.00E+05,,,,,,,,,
D8,SBG1,Standard,,71.40%,20.97,1.00E+05,,,,,,,,,
D9,SBG1,Sample,early CB-D,78.71%,14.58,4.78E+06,,,,,,,,,
D10,SBG1,Sample,early CB-D,82.37%,14.9,3.88E+06,,,,,,,,,
D11,SBG1,Sample,early CB-D,82.39%,14.27,5.82E+06,,,,,,,,,
D12,SBG1,Blank,Blank,45.68%,31.89,58.54,,,,,,,,,
E7,SBG1,Standard,,67.87%,24.47,1.00E+04,,,,,,,,,
E8,SBG1,Standard,,64.62%,25.14,1.00E+04,,,,,,,,,
E9,SBG1,Sample,early CB-A,90.12%,31.92,57.14,,,,,,,,,
E10,SBG1,Sample,early CB-A,71.83%,29.5,279.5,,,,,,,,,
E11,SBG1,Sample,early CB-A,68.75%,29.61,259,,,,,,,,,
E12,SBG1,Blank,Blank,50.59%,31.92,57.15,,,,,,,,,
F7,SBG1,Standard,,63.69%,28.07,1000,,,,,,,,,
F8,SBG1,Standard,,63.52%,28.36,1000,,,,,,,,,
F9,SBG1,Sample,early CB-AD,80.01%,12.82,1.50E+07,,,,,,,,,
F10,SBG1,Sample,early CB-AD,75.48%,13.19,1.19E+07,,,,,,,,,
F11,SBG1,Sample,early CB-AD,89.73%,12.96,1.38E+07,,,,,,,,,
F12,SBG1,Blank,Blank,44.71%,32.61,36.47,,,,,,,,,
G7,SBG1,Standard,,73.27%,29.56,100,,,,,,,,,
G8,SBG1,Standard,,65.44%,29.71,100,,,,,,,,,
G9,SBG1,Sample,late CB-D,81.52%,17.62,6.53E+05,,,,,,,,,
G10,SBG1,Sample,late CB-D,72.63%,15.1,3.39E+06,,,,,,,,,
G11,SBG1,Sample,late CB-D,71.37%,15.46,2.69E+06,,,,,,,,,
H7,SBG1,Standard,,68.02%,31.16,10,,,,,,,,,
H8,SBG1,Standard,,62.41%,31.3,10,,,,,,,,,
H9,SBG1,Sample,late CB-A,67.28%,29.67,249,,,,,,,,,
H10,SBG1,Sample,late CB-A,97.47%,31.76,63.7,,,,,,,,,
H11,SBG1,Sample,late CB-A,60.87%,29.58,264,,,,,,,,,
